Text,Sentiment,Emotion
'Και μετά αυτοί στο παίζουν προοδευτικοί κατά του body shaming και σηκώνουν χασταγκ metoo',NEGATIVE,ANGER
'Καλησπέρα metoo',NEUTRAL,NO-EMOTION
'Μου θέλουν και κίνημα MeToo',NEGATIVE,ANGER
'metoo κοιμήσου',NEGATIVE,ANGER
'Εεεε ρε τα μυαλά σας',NEGATIVE,ANGER
'τους έδωσε το Metoo να μπορούν να θυματοποιούνται όπως θέλουν ότι ώρα θέλουν',NEGATIVE,ANGER
'Πιστέυω πως η γυναίκα σήμερα είναι περισσότερο ενημερωμένη λόγω του MeToo και καταγγέλνει τον θύτη της σε σχέση με παλιότερα',POSITIVE,JOY
Είναι τόσο συχνές αυτές οι καταγγελίες που στη συντριπτική τους πλειονότητα είναι ψευδείς από κτήνη μητέρες που ούτε με τα λουμπενάρια του MeToo δεν ασχολούνται',NEGATIVE,DISGUST
'Η ΕΥΡΩΠΗ ΕΙΝΑΙ ΤΙΓΚΑ ΑΠΟ ΑΥΤΕΣ ΤΙΣ ΚΤΗΝΟΣΑΥΡΕΣ',NEGATIVE,ANGER
'Τι μπορεί να μας διδάξει η υπόθεση του Απόστολου Λύτρα;',NEGATIVE,ANGER
'Γατάκια Αμερικανοί',NEGATIVE,ANGER
'Με το θύμα (αλλά όχι πάντα)',NEGATIVE,ANGER
'την παράτησαν σαν στυμμένη λεμονόκουπα',NEGATIVE,SADNESS
'Αυτή είναι η δύναμη του κινήματος MeToo',POSITIVE,JOY
'Δεν είναι αστείο',NEGATIVE,ANGER
'Ευτυχώς όχι στο ίδιο κόμμα',POSITIVE,JOY
'Κάτι τελευταίο',NEUTRAL,NO-EMOTION
'Κουράγιο Ισραήλ',NEGATIVE,SADNESS
'Είναι δική τους ευθύνη',NEUTRAL,NO-EMOTION
'Τόσο πολύ στο ΒΟΥΛΒΑ ΤΟΥΣ οι νόμοι οι κανόνες η ηθική',NEGATIVE,DISGUST
'H Στάσα γίνεται τόσο σιχαμένη όταν λέει στην κόρη της να ΠΑΡΑΒΛΕΠΕΙ την βιαιότητα του άντρα της',NEGATIVE,DISGUST
'Τερματισμός πίστας',NEUTRAL,NO-EMOTION
'Άντε με το καλό να γίνει και κακούργημα η ψευδής καταγγελία βιασμού και η γονική αποξένωση με φεικ καταγγελίες',NEGATIVE,ANGER
'Άι στο διάολο άπλυτες και αγάμητες',NEGATIVE,ANGER
'Ειδικά στο επεισόδιο του Στο Παρά Πέντε που είχαν λυσσάξει τότε τα μεσημεριανά με την «συγκλονιστική ερμηνεία» ήταν πραγματικά απαίσιος',NEGATIVE,ANGER
'Αν δεν διδάξει κάποιος στα παιδιά κάτι διαφορετικό από αυτό που ακούνε απο τους γονείς τους φοβάμαι πως στο μέλλον θα δούμε χειρότερα πράγματα',NEGATIVE,FEAR
'Σίχαμα ετών 44 βίαζε κατά εξακολούθηση 16χρονη που γνώριζε μέσω του γιού του',NEGATIVE,ANGER
'Η συγκλονιστική ιστορία πίσω από το Black Box Diaries',NEUTRAL,SURPRISE
συμφωνώ,POSITIVE,JOY
'Πιο fake κίνημα από το metoo δεν παίζει να έχει υπάρξει',NEGATIVE,ANGER
'Για αυτό η παιδεία οφείλει να μας εφοδιάζει με τα εργαλεία για το ξεκίνημα της πολύπλευρης ενδυνάμωσής μας με 1ο τη γνώση του τι εστί κακοποίηση',POSITIVE,JOY
'μας πεις κάτι και για τον ξυλοδαρμό στην Πάτρα? ',NEGATIVE,ANGER
'Τα καρπούζακια στο Ελληνικό Τουίτερ άρχισαν να μιλάνε για την τρομοκρατική επίθεση του Ισραήλ στους δικαωματιστές μουλάδες του Ιράν ή όχι ακόμα?',NEGATIVE,ANGER
'Πάλι καλά που είπε την αλήθεια',POSITIVE,JOY
