Φοβάμαι μην ακουμπήσω τα βυζιά,NEGATIVE,FEAR
Μετάφραση: Την είχε βγάλει η μάνα της στο κλαρί,NEGATIVE,DISGUST
ΦΤΟΥ ΣΑΣ MeToo,NEGATIVE,ANGER
Κλάμα 😭,NEGATIVE,SADNESS
Η συγκλονιστική ιστορία πίσω από το Black Box Diaries,NEUTRAL,SURPRISE
Κυκλοφορεί το ντοκιμαντέρ,NEUTRAL,NO-EMOTION
Τα καρπούζακια στο Ελληνικό Τουίτερ άρχισαν να μιλάνε για την τρομοκρατική επίθεση του Ισραήλ στους δικαωματιστές μουλάδες του Ιράν ή όχι ακόμα?,NEGATIVE,ANGER
Το νού σας ρεμάλια,NEGATIVE,ANGER
Σε κάθε ανδρίκελο που σηκώνει το χέρι του σε γυναίκα ευχόμαστε ολόψυχα,NEGATIVE,ANGER
ΚΟΥΛΑΜΑΡΑ,NEGATIVE,ANGER
Να του ξεραίνεται το χέρι,NEGATIVE,ANGER
Να μη μπορεί να το ξαναχρησιμοποιήσει ούτε για να πιάσει να βγάλει το πουλί του από το βρακί του για κατούρημα,NEGATIVE,ANGER
Ήπια σε βρίσκω,NEUTRAL,SURPRISE
Εγώ εύχομαι κακό ψόφο,NEGATIVE,ANGER
Ήπιο εννοείς,NEUTRAL,SURPRISE
Ήπια στον χαρακτηρισμό για τα γομάρια που χτυπάνε τις γυναίκες τους,NEGATIVE,ANGER
Ήπιος είμαι,NEUTRAL,SURPRISE
Ακόμα και ο χαρακτηρισμός είναι γένους αρσενικού,NEGATIVE,ANGER
Ήπιος για σένα ο χαρακτηρισμός ήπιος και ο χρήστης δηλαδή εγώ,NEUTRAL,NO-EMOTION
συμφωνώ,POSITIVE,JOY
"Οι παιδόφιλοι ""γαμιάδες"" του Μητσοτάκη, τα κολλητάρια, οι σύμβουλοι και οι φίλοι Λιγνάκης,Γεωργιάδης",NEGATIVE,DISGUST
Φίλε μου η ξεφτυλισμένη δικαιοσύνη που επιτρέπει σε τέτοια δίποδα κτήνη να είναι ελεύθερα και να ξανακάνουν τα ίδια,NEGATIVE,ANGER
Ο κάθε εγκληματίας Μητσοτάκης και η συμμορία του δεν θα έκαναν τίποτε αν υπήρχαν άξιοι δικαστές,NEGATIVE,ANGER
"Ένα καθεστώς όμως χρειάζεται δικαιοσύνη, ΜΜΕ και σώματα ασφαλείας",NEGATIVE,ANGER
Έχει μιλήσει με Γκλέτσο και Βουλτέψη,NEUTRAL,NO-EMOTION
😯Με Μητσοτάκη για ελιές,NEGATIVE,ANGER
Δεν έχουν ξεβλαχέψει και κάνουν καλιστεία με γυναίκες όχι σαν την Ευρώπη πχια,NEGATIVE,ANGER
MeToo: Οι Δημοσιογράφοι Χωρίς Σύνορα ζητούν από τα κράτη να προστατεύουν τους δημοσιογράφους που ασχολούνται με τα δικαιώματα των γυναικών,POSITIVE,JOY
Να κατοχυρωθεί ο όρος ανδροκτονία,NEGATIVE,ANGER
Μετρηθήκαμε και βρεθήκαμε λιγότεροι αδέρφια μου,NEGATIVE,SADNESS
Φεμινισμός και metoo:Ο καρκίνος της κοινωνίας,NEGATIVE,ANGER
Έκκληση για να συμπληρωθεί το ποσό για τα δικαστικά έξοδα της 12χρονης,NEGATIVE,SADNESS
